,title,company,salary,summary
1013,Engineering Technician (Civil) (Direct Hire),US Natural Resources Conservation Service,"$35,265 - $80,263 a year","Determines engineering training needs for field office personnel and provides training on surveying and engineering equipment.
Prepares job sheets and designs."
1014,Region Applications Engineer NSA (Houston),Tendeka,,
1015,Pipeline Hydraulic Analyst I,Innospec Oilfield Services,,
1016,Development Engineer/Sustaining,Gardner Denver Petroleum,,
1017,Project Manager,"Westerman, Inc",,
1018,Engineering Associate 1,Weston Solutions,,
1019,Product Developer,U.S. SILICA,,
1020,"Analyst, Carbon Analytics",S&P Global,"$46,200 - $155,900 a year","University degree in energy systems, economics, chemistry, engineering, or a similar discipline accompanied with relevant industry or research experience."
1021,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
1022,Events and Programs Associate,University of Texas at Austin,,
1023,Project Manager,AECOM,,
1024,Research Engineer Senior/CAER,University of Kentucky,"$54,142 - $89,315 a year","Applicants for the research engineer positions will preferably have experience in chemical or petroleum engineering, including experience in plant operations,…"
1025,Technical Service Engineer,Clariant,,
1026,Safety and Facilities Planning Specialist (628837),Aramco Services Company,,
1027,"Vice President, Support - ERP",PDI,,
1028,Engineering Associate 1,Weston Solutions,,
1029,Environments Designer,WD Partners,,
1030,Sales Engineer,Alfa Laval,,
1031,Postdoctoral Appointee - FuelChemical Production Technology...,Argonne National Laboratory,,
1032,Technical Sales Engineer – Oil & Gas and Refineries / Chemic...,Beyond Limits,,
1033,General Operations Manager,YRC Freight,,
1034,Chemical Corrosion Program Coordinator,Chevron,,
1035,Research Associate,University of Texas at Austin,,
1036,Corporate Remediation and Waste Manager,Marathon Petroleum Corporation,,
1037,Facilities Engineer,Discovery Natural Resources LLC,,
1038,I&E Technician,Centurion Pipeline,,
1039,"Research Analyst, E&P",IPA,,
1040,Reliability Superintendent - Alliance Refinery,Phillips 66,,
1041,Western Regional Sales Manager,"AMETEK, Inc.",,
1042,G&P Project Engineer II,Marathon Petroleum Corporation,,
1043,Senior Completion Engineer –,DeGolyer and MacNaughton,,
1044,Process Safety & Risk Engineer - HSSE,Western Midstream,,
1045,ENGINEERING TECHNICIAN,US Air Force Materiel Command,"$77,488 - $100,739 a year","Coordinates projects with other engineering disciplines or with architects.
Develops, manages and conducts engineering and technical group related training…"
1046,Sales Representative,National Oilwell Varco,,
1047,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
1048,Energy Manager,Overaa Construction,,
1049,,EnviroTrac Ltd.,"From $80,000 a year","Candidates must have a Bachelor’s degree in environmental, geology, engineering, or related science and approximately 8 to 12 years of experience."
1050,Project Scientist,Trileaf Corporation,"From $30,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
1051,Metals Mechanic,Marathon Petroleum Company,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
1052,Civil Engineer/ Construction,International Cooling Tower Inc.,$48 an hour,"Experience in cost estimating industrial engineering projects would be an asset.
Minimum of 4 years of structural work experience in industrial engineering…"
1053,Network Specialist,Reid Petroleum,,
1054,Events and Programs Associate,University of Texas at Austin,,
1055,Project Manager,AECOM,,
1056,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
1057,Surveillance Engineer,"Borets U.S., Inc.","$65,825 - $98,738 a year",Provides high level of service to Borets customers through the regular and attentive monitoring and control of customer’s producing wells.
1058,Electronic Hardware Engineering Intern,TechnipFMC,,
1059,Climate and Sustainability Research Scientist (613623),Aramco Services Company,,
1060,Research Engineer Senior/CAER,University of Kentucky,"$54,142 - $89,315 a year","Applicants for the research engineer positions will preferably have experience in chemical or petroleum engineering, including experience in plant operations,…"
1061,Safety and Facilities Planning Specialist (628837),Aramco Services Company,,
1062,Assistant Professor of Mechanical Engineering,University of Texas of the Permain Basin,,
1063,Process Technologist,Infineum,,
1064,"Vice President, Support - ERP",PDI,,
1065,Environments Designer,WD Partners,,
1066,Technical Service Engineer,Clariant,,
1067,Postdoctoral Appointee - FuelChemical Production Technology...,Argonne National Laboratory,,
1068,Sales Engineer,Alfa Laval,,
1069,Field Sales Representative (Surface Wellhead),TechnipFMC,"$110,000 - $130,000 a year","Because of increase product demand in the Permian Basin, we have an immediate need for an experienced Field Sales Representative with experience selling Surface…"
1070,R&D Scientist - Chemical Sciences,NewMarket Services Corporation,,
1071,Data Scientist (611659),Aramco Services Company,,
1072,Digital Oil Field Consultant,IPCOS,,
1073,Geothermal Scientist (Temporary),University of North Dakota,$40 an hour,"Performing geophysical analysis of geothermal gradients and heat flow in a variety of geologic settings.
Assisting in the preparation of technical proposals,…"
1074,Technical Manager for Oil,Commonwealth Uti,"$56,439 - $100,000 a year","Further, the TMO should have experience with the following: oil, oily water, water sampling and testing, International Air Transport Association (IATA)…"
1075,Project Design Engineer,PermianLide,,
1076,Engineering Associate,City of Toledo,"$50,024 - $58,864 a year","Analyzing engineering problems and recommending corrective solutions.
Applies standard engineering principles and techniques in specific situations."
1077,"Manager, Field Service Quality and Training","Borets U.S., Inc.","$84,615 - $135,384 a year","Write technical and engineering procedures if necessary.
Ensure that the Borets US Field Service team is trained and qualified to meet all the technical…"
1078,Patent Analyst - Chemistry (Remote Contractor),CPA Global Limited,,
1079,,SRP Environmental LLC,,
1080,Petroleum Construction PM,"Total Environmental Concepts, Inc.","$54,000 - $68,000 a year","Degree in engineering or 5 years relevant work experience required.
TEC is looking for a full time Petroleum Construction Project Manager to work out of our…"
1081,Project Manager,EnviroTrac Ltd.,"From $80,000 a year","Candidates must have a Bachelor’s degree in environmental, geology, engineering, or related science and approximately 8 to 12 years of experience."
1082,Oil & Gas Production Facilities Engineer,Percussion Petroleum,"Up to $250,000 a year","5 – 15 years minimum experience in facilities engineering roles.
Percussion Petroleum II, LLC is searching for a Senior Facilities Engineer to design and manage…"
1083,Sr. Environmental Project Manager,Acuity Environmental Solutions,"$75,000 - $90,000 a year","Greater than 10 years of environmental engineering/consulting experience is required;
Serves as the senior remediation manager of various chlorinated, petroleum…"
1084,Postdoctoral Scholar,Penn State University,,
1085,I & C Field Service Technician,BLTI,$20 - $25 an hour,"The primary focus of this role is to assist in Installation, Commissioning/Start-up, Test, Debug, Troubleshooting, Diagnosis, Repair, Upgrade, of industrial…"
1086,Senior Engineer,American Greetings,,
1087,Geologist,US Bureau of Land Management,"$66,974 - $87,071 a year",This position has a positive education requirement which requires that you have a degree in the field of Geology plus 20 additional semester hours in any…
1088,"Sr Pipeline Welder (Redfield, IA)",Northern Natural Gas Company,$34.18 - $40.19 an hour,"Associate's degree in engineering technology or related technical field or equivalent work experience.
Must have welding certification to meet the current…"
1089,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
1090,EI&C Engineering Team Lead,Cameron LNG LLC,,
1091,Project Scientist,Trileaf Corporation,"From $30,000 a year","Trileaf Corporation is a nationwide environmental, architecture, and engineering consulting firm that assists clients with environmental due diligence,…"
1092,Electrical Refining Engineer,Marathon Petroleum Corporation,,
1093,DOD Fuel Systems Project Manager,Tetra Tech,,
1094,Mud Logging Geologist - Rockies,"Diversified Well Logging, LLC","$50,000 - $65,000 a year","This position will report to the Area Manager and is responsible for the following:
Perform the collection of geological cuttings samples at proper lagged…"
1095,Energy Manager,Overaa Construction,,
1096,Vice President of Operations,Millennium PetroCapital Corporation,"From $90,000 a year","The Vice President of Operations (VPO) is responsible for directing the company’s Operations Department.
Responsibilities include developing and implementing…"
1097,Project Design Engineer,PermianLide,,
1098,Metals Mechanic,Marathon Petroleum Company,$46.30 an hour,"Metals Mechanics layout, fit and fabricate metals components to assemble piping systems, structural forms, such as machinery frames, bridge parts, and pressure…"
1099,Network Specialist,Reid Petroleum,,
1100,Oil and Gas Operations Supervisor,Guttman Energy,,
1101,Data Analyst,Concurrent Technologies Corporation,,
1102,Analyst,DeGolyer and MacNaughton,,
1103,Area Facility Operations Specialist (AFOS),Dawson,,
1104,General Operations Manager,YRC Freight,,
1105,Field Inspector,"Orbital Engineering, Inc.",,
1106,Senior Completion Engineer –,DeGolyer and MacNaughton,,
1107,Sr Engineer,Energy Transfer Family of Partnerships,,
1108,DATA SCIENTIST,Sensia Global,,
1109,"Director, Project Controls",Delek US,,
1110,Offshore TRS Support Manager,Nabors Industries,,
1111,Chemist/Nuclear Chemist,Air Force Reserve,,
1112,Environmental Professional,Callon Petroleum Operating Company,,
1113,VCM Maintenance Manager,Occidental Petroleum Corporation,,
1114,Turnaround Planner - Wood River Refinery,Phillips 66,,
1115,Environmental Professional,Callon Petroleum Operating Company,,
1116,VCM Maintenance Manager,Occidental Petroleum Corporation,,
1117,Turnaround Planner - Wood River Refinery,Phillips 66,,
1118,Project Manager,International Cooling Tower Inc.,,
1119,Unit Manager (Environmental Manager 14),State of Michigan,$30.83 - $45.35 an hour,"Possession of a bachelor's degree in the physical sciences, biological sciences, resource management, sanitary science, environmental health, engineering,…"
1120,Development Engineer/Sustaining,Gardner Denver Petroleum,,
1121,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
1122,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
1123,Environmental Engineer,World Oil Refining,,
1124,Hydrogeology Postdoctoral Fellow,Lawrence Berkeley National Laboratory,,
1125,Environmental Scientist & Specialist - Operational,State of New Mexico,"$37,538 - $65,316 a year","Educate owners and operators of petroleum storage tank systems in the requirements to promote compliance.
The ideal candidate is familiar with petroleum storage…"
1126,Chemical Corrosion Program Coordinator,Chevron,,
1127,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
1128,Safety Supervisor,Uses Group,,
1129,Project Engineer/Manager,Sundyne,"$75,000 - $95,000 a year","Review and approve engineering drawings and documentation.
3-5 years in an engineering and/or technical fluid handling position."
1130,Environmental Professional,Callon Petroleum Operating Company,,
1131,VCM Maintenance Manager,Occidental Petroleum Corporation,,
1132,Turnaround Planner - Wood River Refinery,Phillips 66,,
1133,Project Manager,International Cooling Tower Inc.,,
1134,Unit Manager (Environmental Manager 14),State of Michigan,$30.83 - $45.35 an hour,"Possession of a bachelor's degree in the physical sciences, biological sciences, resource management, sanitary science, environmental health, engineering,…"
1135,Development Engineer/Sustaining,Gardner Denver Petroleum,,
1136,Refining Process Engineer (Projects/Process Optimization),Marathon Petroleum Corporation,,
1137,Senior Energy Systems Researcher – Petroleum and Natural Gas...,Argonne National Laboratory,,
1138,Environmental Engineer,World Oil Refining,,
1139,Hydrogeology Postdoctoral Fellow,Lawrence Berkeley National Laboratory,,
1140,Environmental Scientist & Specialist - Operational,State of New Mexico,"$37,538 - $65,316 a year","Educate owners and operators of petroleum storage tank systems in the requirements to promote compliance.
The ideal candidate is familiar with petroleum storage…"
1141,Chemical Corrosion Program Coordinator,Chevron,,
1142,Geosciences Engineer - Numerical Modeler,Sandia National Laboratories,,
1143,Safety Supervisor,Uses Group,,
1144,Project Engineer/Manager,Sundyne,"$75,000 - $95,000 a year","Review and approve engineering drawings and documentation.
3-5 years in an engineering and/or technical fluid handling position."
1145,Product Developer,U.S. SILICA,,
1146,Oil & Gas Production Accounting Supervisor,Percussion Petroleum,"Up to $150,000 a year","Percussion Petroleum II, LLC is searching for a Production Accounting Supervisor to manage production accounting and reporting processes for operated assets in…"
1147,Project Leader,Western Research Institute,"From $80,000 a year","Requires a PhD in civil engineering, materials science, chemistry or chemical engineering and experience in research and project development or equivalent."
1148,Surveillance Engineer,"Borets U.S., Inc.","$65,825 - $98,738 a year",Provides high level of service to Borets customers through the regular and attentive monitoring and control of customer’s producing wells.
1149,Electronic Hardware Engineering Intern,TechnipFMC,,
1150,Climate and Sustainability Research Scientist (613623),Aramco Services Company,,
1151,Assistant Professor of Mechanical Engineering,University of Texas of the Permain Basin,,
1152,Project Manager,AECOM,,
1153,Research Engineer Senior/CAER,University of Kentucky,"$54,142 - $89,315 a year","Applicants for the research engineer positions will preferably have experience in chemical or petroleum engineering, including experience in plant operations,…"
1154,Technical Service Engineer,Clariant,,
1155,Safety and Facilities Planning Specialist (628837),Aramco Services Company,,
1156,"Vice President, Support - ERP",PDI,,
1157,Process Technologist,Infineum,,
1158,Engineering Associate 1,Weston Solutions,,
1159,Environments Designer,WD Partners,,
